Medical School Name,Country,City Name
MARKS MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Dhaka
MEDICAL COLLEGE FOR WOMEN & HOSPITAL,Bangladesh,Dhaka
MONNO MEDICAL COLLEGE,Bangladesh,Monno City
MUGDA MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Dhaka
MYMENSINGH MEDICAL COLLEGE,Bangladesh,Mymensingh
NORTH BENGAL MEDICAL COLLEGE,Bangladesh,Sirajgonj
NORTH EAST MEDICAL COLLEGE,Bangladesh,Sylhet
NORTHERN INTERNATIONAL MEDICAL COLLEGE,Bangladesh,Dhaka
NORTHERN PRIVATE MEDICAL COLLEGE,Bangladesh,Rangpur
PABNA MEDICAL COLLEGE,Bangladesh,Pabna
PARKVIEW MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Sylhet
PATUAKHALI MEDICAL COLLEGE,Bangladesh,Patuakhali
POPULAR MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Dhaka
PRESIDENT ABDUL HAMID MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Kishoreganj
PRIME MEDICAL COLLEGE,Bangladesh,Rangpur
RAJSHAHI MEDICAL COLLEGE & HOSPITAL,Bangladesh,Rajshahi
RANGAMATI MEDICAL COLLEGE,Bangladesh,Rangamati
RANGPUR COMMUNITY MEDICAL COLLEGE,Bangladesh,Rangpur
RANGPUR MEDICAL COLLEGE,Bangladesh,Rangpur
SATKHIRA MEDICAL COLLEGE,Bangladesh,Satkhira
SHAHABUDDIN MEDICAL COLLEGE,Bangladesh,Dhaka
SHAHEED M. MONSUR ALI MEDICAL COLLEGE SIRAJGANJ,Bangladesh,Sirajganj
SHAHEED MONSUR ALI MEDICAL COLLEGE,Bangladesh,Dhaka
SHAHEED SUHRAWARDY MEDICAL COLLEGE,Bangladesh,Dhaka
SHAHEED SYED NAZRUL ISLAM MEDICAL COLLEGE,Bangladesh,Kishoregonj
SHAHEED TAJUDDIN AHMAD MEDICAL COLLEGE,Bangladesh,Gazipur
SHAHEED ZIAUR RAHMAN MEDICAL COLLEGE,Bangladesh,Bogra
SHEIKH HASINA MEDICAL COLLEGE TANGAIL,Bangladesh,Tangail
SHEIKH SAYERA KHATUN MEDICAL COLLEGE,Bangladesh,Gopalganj
SHER-E-BANGLA MEDICAL COLLEGE,Bangladesh,Barisal
SIR SALIMULLAH MEDICAL COLLEGE,Bangladesh,Dhaka
SOUTHERN MEDICAL COLLEGE & HOSPITAL,Bangladesh,Chittagong
SYLHET M.A.G. OSMANI MEDICAL COLLEGE,Bangladesh,Sylhet
SYLHET WOMEN'S MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Sylhet
T.M.S.S. MEDICAL COLLEGE,Bangladesh,Bogra
TAIRUNNESSA MEMORIAL MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Gazipur
UNIVERSAL MEDICAL COLLEGE,Bangladesh,Dhaka
US-BANGLA MEDICAL COLLEGE AND HOSPITAL,Bangladesh,Rupgonj
UTTARA ADHUNIK MEDICAL COLLEGE,Bangladesh,Dhaka
ZAINUL HAQUE SIKDER WOMEN'S MEDICAL COLLEGE & HOSPITAL,Bangladesh,Dhaka
AMERICAN UNIVERSITY OF BARBADOS SCHOOL OF MEDICINE,Barbados,St. Michael
AMERICAN UNIVERSITY OF INTEGRATIVE SCIENCES SCHOOL OF MEDICINE,Barbados,St. Michael
BRIDGETOWN INTERNATIONAL UNIVERSITY SCHOOL OF MEDICINE,Barbados,St. Michael
INTERNATIONAL UNIVERSITY OF BARBADOS SCHOOL OF MEDICINE,Barbados,Welches
QUEEN'S UNIVERSITY COLLEGE OF MEDICINE,Barbados,St. John
ROSS UNIVERSITY SCHOOL OF MEDICINE,Barbados,St. Michael
UNIVERSITY OF THE WEST INDIES AT CAVE HILL FACULTY OF MEDICAL SCIENCES,Barbados,Cave Hill
VICTORIA UNIVERSITY OF BARBADOS SCHOOL OF MEDICINE,Barbados,St. Michael
WASHINGTON UNIVERSITY OF BARBADOS SCHOOL OF MEDICINE,Barbados,St. Philip
BELARUSIAN STATE MEDICAL UNIVERSITY,Belarus,Minsk
GOMEL STATE MEDICAL UNIVERSITY,Belarus,Gomel
GRODNO STATE MEDICAL UNIVERSITY,Belarus,Grodno
VITEBSK STATE MEDICAL UNIVERSITY,Belarus,Vitebsk
KATHOLIEKE UNIVERSITEIT LEUVEN (KULEUVEN) FACULTEIT GENEESKUNDE,Belgium,Leuven
UNIVERSITÉ CATHOLIQUE DE LOUVAIN FACULTÉ DE MÉDECINE ET DE MÉDECINE DENTAIRE,Belgium,Brussels
UNIVERSITÉ DE LIÈGE FACULTÉ DE MÉDECINE,Belgium,Liege
UNIVERSITÉ LIBRE DE BRUXELLES FACULTÉ DE MÉDECINE,Belgium,Brussels
UNIVERSITEIT ANTWERPEN FACULTEIT GENEESKUNDE EN GEZONDHEIDSWETENSCHAPPEN,Belgium,Antwerpen
UNIVERSITEIT GENT FACULTEIT GENEESKUNDE EN GEZONDHEIDSWETENSCHAPPEN,Belgium,Gent
VRIJE UNIVERSITEIT BRUSSEL FACULTEIT GENEESKUNDE & FARMACIE,Belgium,Brussels
AVICINA MEDICAL ACADEMY,Belize,Belmopan
CENTRAL AMERICA HEALTH SCIENCES UNIVERSITY BELIZE MEDICAL COLLEGE,Belize,Ladyville
COLUMBUS CENTRAL UNIVERSITY SCHOOL OF MEDICINE,Belize,Ladyville
EFHRE INTERNATIONAL UNIVERSITY,Belize,Belize City
GRACE UNIVERSITY SCHOOL OF MEDICINE (BELIZE),Belize,Belmopan
HOPE UNIVERSITY SCHOOL OF MEDICINE,Belize,Belmopan
INTERAMERICAN MEDICAL UNIVERSITY,Belize,Corozal
MEDICAL UNIVERSITY OF THE AMERICAS (BELIZE),Belize,Ambergris Caye
ST. LUKE'S UNIVERSITY SCHOOL OF MEDICINE,Belize,Belize City
ST. MATTHEW'S UNIVERSITY SCHOOL OF MEDICINE (BELIZE),Belize,San Pedro
WASHINGTON UNIVERSITY OF HEALTH AND SCIENCES,Belize,San Pedro
UNIVERSITÉ D'ABOMEY-CALAVI FACULTÉ DES SCIENCES DE LA SANTÉ,Benin,Cotonou
UNIVERSITÉ DE PARAKOU FACULTÉ DE MÉDECINE,Benin,Parakou
